Geocode,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent
35049940400,Santa Fe, Pueblos Plus   ,0.17,3,26,"1,475",0.017627119
35049940500,Santa Fe, Pueblos Plus   ,0.19,3,9,"1,671",0.005385996
35049940600,Santa Fe, Pueblos Plus   ,0.13,3,106,"3,435",0.030858806
35049940900,Santa Fe, Pueblos Plus   ,0.33,5,72,"3,237",0.022242817
35049980000,Santa Fe,State Pen    ,,,97,959,0.101147028
35051962200,Sierra/Catron,     ,0.35,5,51,"3,180",0.016037736
35051962300,Sierra/Catron,     ,0.28,4,54,"3,167",0.017050837
35051962401,Sierra/Catron,     ,0.09,2,20,"2,290",0.008733624
35051962402,Sierra/Catron,     ,0.23,4,61,"2,482",0.024576954
35053940000,Socorro,Alamo Navajo,0.67,6,93,"1,444",0.064404432
35053978100,Socorro,     ,0.22,4,40,"4,194",0.009537434
35053978200,Socorro,Magdalena,0.18,3,147,"1,660",0.088554217
35053978301,Socorro,     ,0.28,4,24,"2,798",0.008577555
35053978302,Socorro,     ,0.32,5,36,"3,459",0.010407632
35053978303,Socorro,     ,0.31,5,66,"3,553",0.018575851
35055940000,Taos,Downtown and High Road  ,0.25,4,26,"1,913",0.013591218
35055940100,Taos,Downtown and High Road  ,0.17,3,170,"7,707",0.022057869
35055952100,Taos,Northwest     ,0.12,3,59,"6,350",0.009291339
35055952300,Taos,Northwest     ,0.38,5,7,"2,922",0.002395619
35055952600,Taos,Downtown and High Road  ,0.17,3,48,"7,871",0.006098336
35055952700,Taos,Downtown and High Road  ,0.22,4,144,"6,144",0.0234375
35057963201,Torrance,     ,0.23,4,41,"3,970",0.010327456
35057963202,Torrance,     ,0.23,4,53,"3,047",0.017394158
35057963600,Torrance,     ,0.29,4,122,"6,587",0.01852133
35057963700,Torrance,     ,0.27,4,14,"2,207",0.006343453
35059950200,Colfax/Union,     ,0.14,3,67,"4,163",0.016094163
35061940300,Valencia,NE     ,0.26,4,26,834,0.03117506
35061970101,Valencia,NE     ,0.38,5,130,"4,755",0.027339642
35061970102,Valencia,NE     ,0.17,3,91,"6,537",0.013920759
35061970200,Valencia,NE     ,0.1,3,52,"3,789",0.013723938
35061970301,Valencia,SE     ,0.36,5,265,"7,474",0.035456248
35061970302,Valencia,SE     ,0.17,3,56,"2,787",0.02009329
35061970303,Valencia,SE     ,0.13,3,108,"6,452",0.016738996
35061970401,Valencia,Los Lunas    ,0.1,2,99,"5,088",0.019457547
35061970404,Valencia,Los Lunas    ,0.17,3,101,"4,842",0.020859149
35061970405,Valencia,Los Lunas    ,0.11,3,88,"3,030",0.029042904
35061970700,Valencia,West and Belen   ,0.15,3,279,"6,768",0.041223404
35061970800,Valencia,West and Belen   ,0.23,4,83,"4,991",0.016629934
35061970901,Valencia,West and Belen   ,0.2,4,110,"4,602",0.023902651
35061970902,Valencia,West and Belen   ,0.17,3,29,"2,633",0.011014052
35061971000,Valencia,SE     ,0.19,3,82,"4,597",0.01783772
35061971100,Valencia,SE     ,0.3,4,28,"1,575",0.017777778
35061971300,Valencia,West and Belen   ,0.23,4,46,"2,026",0.022704837
35061971400,Valencia,Los Lunas    ,0.12,3,55,"3,286",0.016737675
