GeoID,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent,ACS_Population,White,Black,AIAN,Hispanic,ASIAN,Other,Percent_ACS_Population,Percent_White,Percent_Black,Percent_AIAN,Percent_Hispanic,Percent_Asian,Other_Percent
35001003731,Bernalillo,Paseo Ventura,0.04,1,80,"3,606",0.02218525,3892,2699,0,135,808,170,80,79.24,69.35,0,3.47,20.76,4.37,2.06
35001003732,Bernalillo,Paseo Ventura,0.03,1,115,"7,389",0.01556368,6871,4126,220,15,1356,1044,110,80.26,60.05,3.2,0.22,19.74,15.19,1.6
35001003733,Bernalillo,Comanche Carlysle,0.47,6,136,"3,745",0.03631509,3613,845,550,342,1697,26,153,53.03,23.39,15.22,9.47,46.97,0.72,4.23
35001003735,Bernalillo,Alameda Edith,0.06,2,115,"6,494",0.01770865,6785,2595,221,171,3317,314,167,51.11,38.25,3.26,2.52,48.89,4.63,2.46
35001003736,Bernalillo,,0.23,4,134,"2,015",0.06650124,2178,710,60,143,1040,72,153,52.25,32.6,2.75,6.57,47.75,3.31,7.02
35001003737,Bernalillo,Academy Tramway,0.04,1,26,"2,809",0.00925596,2785,1794,0,59,627,264,41,77.49,64.42,0,2.12,22.51,9.48,1.47
35001003738,Bernalillo,Academy Tramway,0.15,3,41,"4,920",0.00833333,4868,3201,54,359,956,122,176,80.36,65.76,1.11,7.37,19.64,2.51,3.62
35001003803,Bernalillo,East Mountain,0.04,1,19,"3,216",0.00590796,3384,2799,0,51,517,0,17,84.72,82.71,0,1.51,15.28,0,0.5
35001003804,Bernalillo,East Mountain,0.04,1,27,"5,512",0.0048984,5873,4017,0,58,1347,216,235,77.06,68.4,0,0.99,22.94,3.68,4
35001003805,Bernalillo,East Mountain,0.07,2,16,"2,433",0.00657624,2406,1288,7,0,922,0,189,61.68,53.53,0.29,0,38.32,0,7.86
35001003806,Bernalillo,East Mountain,0.07,2,25,"3,533",0.00707614,3496,2807,19,68,516,28,58,85.24,80.29,0.54,1.95,14.76,0.8,1.66
35001003807,Bernalillo,East Mountain,0.1,3,42,"4,539",0.00925314,4573,3003,11,116,1229,99,115,73.12,65.67,0.24,2.54,26.88,2.16,2.51
35001004001,Bernalillo,Rio Bravo Second,0.27,4,204,"5,085",0.04011799,5304,930,59,34,4255,0,26,19.78,17.53,1.11,0.64,80.22,0,0.49
35001004300,Bernalillo,Arenal Tapia,0.34,5,191,"5,190",0.03680154,5604,929,96,72,4462,0,45,20.38,16.58,1.71,1.28,79.62,0,0.8
35001004401,Bernalillo,Arenal Tapia,0.31,5,101,"3,236",0.03121137,3450,307,6,0,3137,0,0,9.07,8.9,0.17,0,90.93,0,0
35001004402,Bernalillo,Arenal Tapia,0.16,3,124,"4,109",0.03017766,4070,858,0,67,2965,89,91,27.15,21.08,0,1.65,72.85,2.19,2.24
35001004501,Bernalillo,Arenal Tapia,0.29,4,109,"3,619",0.03011882,3322,267,0,0,3055,0,0,8.04,8.04,0,0,91.96,0,0
35001004502,Bernalillo,Arenal Tapia,0.33,5,101,"3,628",0.02783903,4152,507,50,218,3328,0,49,19.85,12.21,1.2,5.25,80.15,0,1.18
